id,api,grade,afsc,aircraft,unit,state,location,conus
151,6,4,11F3Y,General,354 FIGHTER WING,AK,EIELSON,CONUS
152,6,5,11F3Y,General,354 FIGHTER WING,AK,EIELSON,CONUS
153,3,3,11F3H,F-16,353 COMBAT TRAINING SQUADRON,AK,EIELSON,CONUS
154,3,4,11F3Y,General,353 COMBAT TRAINING SQUADRON,AK,EIELSON,CONUS
155,6,5,11F3Y,General,353 COMBAT TRAINING SQUADRON,AK,EIELSON,CONUS
156,6,3,11F3N,F-35,354 OPERATIONS GROUP,AK,EIELSON,CONUS
157,6,4,11F3H,F-16,354 OPERATIONS GROUP,AK,EIELSON,CONUS
158,6,3,11F3N,F-35,354 OPERATIONS SUPPORT SQUADRON,AK,EIELSON,CONUS
159,6,4,11F3N,F-35,354 OPERATIONS SUPPORT SQUADRON,AK,EIELSON,CONUS
160,6,5,11F3Y,General,354 OPERATIONS SUPPORT SQUADRON,AK,EIELSON,CONUS
161,1,2,11F3N,F-35,354 OPERATIONS GROUP (DET 2),AK,EIELSON,CONUS
162,1,3,11F3N,F-35,354 OPERATIONS GROUP (DET 2),AK,EIELSON,CONUS
163,1,4,11F3N,F-35,354 OPERATIONS GROUP (DET 2),AK,EIELSON,CONUS
164,6,5,11F3N,F-35,354 OPERATIONS GROUP (DET 2),AK,EIELSON,CONUS
165,1,2,11F3N,F-35,354 OPERATIONS GROUP (DET 3),AK,EIELSON,CONUS
166,1,3,11F3N,F-35,354 OPERATIONS GROUP (DET 3),AK,EIELSON,CONUS
167,1,4,11F3N,F-35,354 OPERATIONS GROUP (DET 3),AK,EIELSON,CONUS
168,6,5,11F3N,F-35,354 OPERATIONS GROUP (DET 3),AK,EIELSON,CONUS
169,4,4,11F4Y,General,611 AIR OPERATIONS CENTER,AK,JB ELMENDORF-RICH,CONUS
170,4,5,11F4Y,General,611 AIR OPERATIONS CENTER,AK,JB ELMENDORF-RICH,CONUS
171,8,6,11F4Y,General,11 AIR FORCE,AK,JB ELMENDORF-RICH,CONUS
172,6,3,11F3J,F-22,3 WING,AK,JB ELMENDORF-RICH,CONUS
173,1,2,11F3J,F-22,90 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
174,1,3,11F3J,F-22,90 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
175,1,4,11F3J,F-22,90 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
176,6,5,11F3J,F-22,90 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
177,1,2,11F3J,F-22,525 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
178,1,3,11F3J,F-22,525 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
179,1,4,11F3J,F-22,525 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
180,6,5,11F3J,F-22,525 FIGHTER SQUADRON,AK,JB ELMENDORF-RICH,CONUS
181,6,3,11F3J,F-22,3 OPERATIONS GROUP,AK,JB ELMENDORF-RICH,CONUS
182,6,3,11F3J,F-22,3 OPERATIONS SUPPORT SQUADRON,AK,JB ELMENDORF-RICH,CONUS
183,6,4,11F3Y,General,3 OPERATIONS SUPPORT SQUADRON,AK,JB ELMENDORF-RICH,CONUS
184,6,5,11F3Y,General,3 OPERATIONS SUPPORT SQUADRON,AK,JB ELMENDORF-RICH,CONUS
185,6,4,11F3Y,General,354 OPERATIONS GROUP (DET 1),AK,JB ELMENDORF-RICH,CONUS
186,4,5,11F4Y,General,AFELM US NORTH COM (OL JTAK),AK,JB ELMENDORF-RICH,CONUS
187,8,5,11F4H,F-16,1 AIR FORCE (OL F),CO,PETERSON,CONUS
188,8,4,11F4F,F-15,AFELM NORAD (OL J3HP),CO,PETERSON,CONUS
189,4,5,11F4Y,General,AFELM NORAD (OL J3HP),CO,PETERSON,CONUS
190,4,6,11F4Y,General,AFELM NORAD (OL J3HP),CO,PETERSON,CONUS
191,4,4,11F4Y,General,AFELM NORAD (OL J5HP),CO,PETERSON,CONUS
192,4,5,11F4Y,General,AFELM NORAD (OL J5HP),CO,PETERSON,CONUS
193,8,4,11F4F,F-15,AFELM NORAD (OL IGHP),CO,PETERSON,CONUS
194,8,6,11F4Y,General,AFELM NORAD (OL IGHP),CO,PETERSON,CONUS
195,4,4,11F4Y,General,AFELM NORAD (OL J8HP),CO,PETERSON,CONUS
196,4,4,11F4Y,General,AFELM NORAD (OL J7HP),CO,PETERSON,CONUS
197,4,5,11F4H,F-16,AFELM US NORTH COM (OL J3HP),CO,PETERSON,CONUS
198,4,6,11F3Y,General,AFELM US NORTH COM (OL J3HP),CO,PETERSON,CONUS
199,4,4,11F4Y,General,AFELM US NORTH COM (OL J5HP),CO,PETERSON,CONUS
200,4,5,11F4Y,General,AFELM US NORTH COM (OL J8HP),CO,PETERSON,CONUS
201,3,4,12F3Y,General,66 TRAINING SQUADRON,TX,FAIRCHILD,CONUS
202,4,6,11F4Y,General,AIR COMBAT COMMAND (DET 1),CO,SCHRIEVER,CONUS
203,4,3,12F4W,EWO,AIR COMBAT COMMAND (OL 1A),CO,SCHRIEVER,CONUS
204,4,4,11F4Y,General,AIR COMBAT COMMAND (OL 1A),CO,SCHRIEVER,CONUS
205,4,5,11F4F,F-15,AIR COMBAT COMMAND (OL 1A),CO,SCHRIEVER,CONUS
206,4,5,11F4Y,General,AFELM U S CYBER COMMAND (OL CYJ2),TX,FT GEORGE MEADE,CONUS
207,4,4,11F4Y,General,1 AIR FORCE (DET 1),TX,JAMES ARMSTRONG R,CONUS
208,4,4,11F4H,F-16,U S AIR FORCE HEADQUARTERS (OL AN00),VA,PENTAGON,CONUS
209,4,4,12F4W,EWO,HQ USAF DIR SPT EL HQSP (OL A910),VA,PENTAGON,CONUS
210,4,5,11F4Y,General,HQ USAF DIR SPT EL HQSP (OL A910),VA,PENTAGON,CONUS
211,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A8P0),VA,PENTAGON,CONUS
212,4,6,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A8P0),VA,PENTAGON,CONUS
213,4,3,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A3X0),VA,PENTAGON,CONUS
214,4,4,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A3X0),VA,PENTAGON,CONUS
215,0,6,11F4Z,Other,HQ USAF DIR SPT EL HQSP (OL DPO0),VA,PENTAGON,CONUS
216,4,4,11F4Y,General,HQ USAF DIR SPT EL HQSP (OL IA20),VA,PENTAGON,CONUS
217,4,5,11F4Y,General,HQ USAF DIR SPT EL HQSP (OL IA20),VA,PENTAGON,CONUS
218,4,4,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL LL00),VA,PENTAGON,CONUS
219,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL LL00),VA,PENTAGON,CONUS
220,4,6,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL LL00),VA,PENTAGON,CONUS
221,4,4,12F4W,EWO,U S AIR FORCE HEADQUARTERS (OL TE00),VA,PENTAGON,CONUS
222,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL FMB0),VA,PENTAGON,CONUS
223,8,5,11F4F,F-15,U S AIR FORCE HEADQUARTERS (OL NGBA),VA,PENTAGON,CONUS
224,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL AQP0),VA,PENTAGON,CONUS
225,8,6,11F4H,F-16,U S AIR FORCE HEADQUARTERS (OL 35A0),VA,PENTAGON,CONUS
226,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A3O0),VA,PENTAGON,CONUS
227,4,4,11F4Y,General,HQ USAF DIR SPT EL HQSP (OL IA30),VA,PENTAGON,CONUS
228,4,5,11F4Y,General,HQ USAF DIR SPT EL HQSP (OL IA30),VA,PENTAGON,CONUS
229,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL SE00),VA,PENTAGON,CONUS
230,4,6,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL SE00),VA,PENTAGON,CONUS
231,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A5S0),VA,PENTAGON,CONUS
232,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A8X0),VA,PENTAGON,CONUS
233,6,6,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A8X0),VA,PENTAGON,CONUS
234,4,3,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A5R0),VA,PENTAGON,CONUS
235,4,4,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A5R0),VA,PENTAGON,CONUS
236,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL A5R0),VA,PENTAGON,CONUS
237,4,5,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL CC10),VA,PENTAGON,CONUS
238,4,5,11F4N,F-35,HQ USAF DIR SPT EL HQSP (OL CCIO),VA,PENTAGON,CONUS
239,0,6,11F4N,F-35,HQ USAF DIR SPT EL HQSP (OL CCIO),VA,PENTAGON,CONUS
240,4,4,11F4Y,General,AF OPERATIONS - FOA,VA,PENTAGON,CONUS
241,4,5,11F4Y,General,AF OPERATIONS - FOA,VA,PENTAGON,CONUS
242,4,6,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
243,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (DET 25),VA,PENTAGON,CONUS
244,4,5,12F4W,EWO,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
245,4,6,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
246,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
247,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
248,4,4,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
249,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
250,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
251,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
252,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
253,4,6,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
254,4,6,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
255,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY,VA,PENTAGON,CONUS
256,8,5,12F4Y,General,OFF SEC DEF,VA,PENTAGON,CONUS
257,4,6,11F4Y,General,OFF SEC DEF,VA,PENTAGON,CONUS
258,4,5,12F4W,EWO,OFF SEC DEF,VA,PENTAGON,CONUS
259,0,6,11F4Y,General,OFF SEC DEF,VA,PENTAGON,CONUS
260,4,5,11F4Y,General,OFF SEC DEF,VA,PENTAGON,CONUS
261,4,6,11F4Y,General,OFF SEC DEF,VA,PENTAGON,CONUS
262,4,5,11F4Y,General,OFF SEC DEF,VA,PENTAGON,CONUS
263,4,5,12F4Y,General,AFELM WASH HQS SVC,VA,PENTAGON,CONUS
264,4,4,11F4Y,General,AFELM ELE SPEC PRO OFFICE,TX,BOLLING,CONUS
265,4,5,11F4Y,General,AFELM ELE SPEC PRO OFFICE (OL QLA),VA,PENTAGON,CONUS
266,8,5,11F4Y,General,PACIFIC AIR FORCES COMMAND (OL SE00),HI,JB PRL HBR-HICKAM,CONUS
267,3,5,11F3U,ALO,25 AIR SUPT OPNS SQUADRON,TX,WHEELER,CONUS
268,4,6,11F4Y,General,PACIFIC AIR FORCES COMMAND,HI,JB PRL HBR-HICKAM,CONUS
269,1,2,11F3J,F-22,19 FIGHTER SQUADRON,HI,JB PRL HBR-HICKAM,CONUS
270,1,3,11F3J,F-22,19 FIGHTER SQUADRON,HI,JB PRL HBR-HICKAM,CONUS
271,1,4,11F3J,F-22,19 FIGHTER SQUADRON,HI,JB PRL HBR-HICKAM,CONUS
272,1,5,11F3J,F-22,19 FIGHTER SQUADRON,HI,JB PRL HBR-HICKAM,CONUS
273,4,3,12F4Y,General,613 AIR OPERATIONS CENTER,HI,JB PRL HBR-HICKAM,CONUS
274,4,4,11F4Y,General,613 AIR OPERATIONS CENTER,HI,JB PRL HBR-HICKAM,CONUS
275,4,5,11F4Y,General,613 AIR OPERATIONS CENTER,HI,JB PRL HBR-HICKAM,CONUS
276,4,6,11F4Y,General,613 AIR OPERATIONS CENTER,HI,JB PRL HBR-HICKAM,CONUS
277,8,4,11F4H,F-16,PACIFIC AIR FORCES COMMAND (OL IG00),HI,JB PRL HBR-HICKAM,CONUS
278,4,6,11F4Y,General,PACIFIC AIR FORCES COMMAND (OL IG00),HI,JB PRL HBR-HICKAM,CONUS
279,4,4,11F4Y,General,PACIFIC AIR FORCES COMMAND (OL A5A8),HI,JB PRL HBR-HICKAM,CONUS
